date,hour,temperature,humidity,holiday,load
2026-01-01,0,25,50,0,2000
2026-01-02,1,25,50,0,2005
2026-01-03,2,25,50,0,2010
2026-01-04,3,25,50,0,2015
2026-01-05,4,25,50,0,2020
2026-01-06,5,25,50,0,2025
2026-01-07,6,25,50,0,2030
2026-01-08,7,25,50,0,2035
2026-01-09,8,25,50,0,2040
2026-01-10,9,25,50,0,2045
2026-01-11,10,25,50,0,2050
2026-01-12,11,25,50,0,2055
2026-01-13,12,25,50,0,2060
2026-01-14,13,25,50,0,2065
2026-01-15,14,25,50,0,2070
2026-01-16,15,25,50,0,2075
2026-01-17,16,25,50,0,2080
2026-01-18,17,25,50,0,2085
2026-01-19,18,25,50,0,2090
2026-01-20,19,25,50,0,2095
2026-01-21,20,25,50,0,2100
2026-01-22,21,25,50,0,2105
2026-01-23,22,25,50,0,2110
2026-01-24,23,25,50,0,2115
2026-01-25,0,25,50,0,2120
2026-01-26,1,25,50,0,2125
2026-01-27,2,25,50,0,2130
2026-01-28,3,25,50,0,2135
2026-01-29,4,25,50,0,2140
2026-01-30,5,25,50,0,2145
2026-01-01,6,25,50,0,2150
2026-01-02,7,25,50,0,2155
2026-01-03,8,25,50,0,2160
2026-01-04,9,25,50,0,2165
2026-01-05,10,25,50,0,2170
2026-01-06,11,25,50,0,2175
2026-01-07,12,25,50,0,2180
2026-01-08,13,25,50,0,2185
2026-01-09,14,25,50,0,2190
2026-01-10,15,25,50,0,2195
2026-01-11,16,25,50,0,2200
2026-01-12,17,25,50,0,2205
2026-01-13,18,25,50,0,2210
2026-01-14,19,25,50,0,2215
2026-01-15,20,25,50,0,2220
2026-01-16,21,25,50,0,2225
2026-01-17,22,25,50,0,2230
2026-01-18,23,25,50,0,2235
2026-01-19,0,25,50,0,2240
2026-01-20,1,25,50,0,2245
2026-01-21,2,25,50,0,2250
2026-01-22,3,25,50,0,2255
2026-01-23,4,25,50,0,2260
2026-01-24,5,25,50,0,2265
2026-01-25,6,25,50,0,2270
2026-01-26,7,25,50,0,2275
2026-01-27,8,25,50,0,2280
2026-01-28,9,25,50,0,2285
2026-01-29,10,25,50,0,2290
2026-01-30,11,25,50,0,2295
2026-01-01,12,25,50,0,2300
2026-01-02,13,25,50,0,2305
2026-01-03,14,25,50,0,2310
2026-01-04,15,25,50,0,2315
2026-01-05,16,25,50,0,2320
2026-01-06,17,25,50,0,2325
2026-01-07,18,25,50,0,2330
2026-01-08,19,25,50,0,2335
2026-01-09,20,25,50,0,2340
2026-01-10,21,25,50,0,2345
2026-01-11,22,25,50,0,2350
2026-01-12,23,25,50,0,2355
2026-01-13,0,25,50,0,2360
2026-01-14,1,25,50,0,2365
2026-01-15,2,25,50,0,2370
2026-01-16,3,25,50,0,2375
2026-01-17,4,25,50,0,2380
2026-01-18,5,25,50,0,2385
2026-01-19,6,25,50,0,2390
2026-01-20,7,25,50,0,2395
2026-01-21,8,25,50,0,2400
2026-01-22,9,25,50,0,2405
2026-01-23,10,25,50,0,2410
2026-01-24,11,25,50,0,2415
2026-01-25,12,25,50,0,2420
2026-01-26,13,25,50,0,2425
2026-01-27,14,25,50,0,2430
2026-01-28,15,25,50,0,2435
2026-01-29,16,25,50,0,2440
2026-01-30,17,25,50,0,2445
2026-01-01,18,25,50,0,2450
2026-01-02,19,25,50,0,2455
2026-01-03,20,25,50,0,2460
2026-01-04,21,25,50,0,2465
2026-01-05,22,25,50,0,2470
2026-01-06,23,25,50,0,2475
2026-01-07,0,25,50,0,2480
2026-01-08,1,25,50,0,2485
2026-01-09,2,25,50,0,2490
2026-01-10,3,25,50,0,2495
